Author,Comment,Published At,Likes
@thekillashots9755,thats y u dont let unvetted ppl and give asylum for ppl who dont deserve it.,2024-11-05T04:08:20Z,0
@suumitsingh,Not all Uber drivers are from India. They are mostly from Pakistan and other south Asian countries as well,2024-11-05T01:40:01Z,0
@Viklol525,"Why can’t anyone comment on Canadian news channels, they have removed option comments and they call their selves protector of democracy. Wow! Hypocrisy at its best.",2024-11-05T01:15:41Z,0
@ChiggiBoi,"To be honest, this problem is not of first generation immigrants but of Canadian of indian orgins ( Second to third generation of immigrants). Because the first generation immigrants have come to make it in canada and hence tend to keep their heads down while earning money and some respect. Your political leaders have molly coddle them (2nd to 3rd gen immigrants who have never once in their life been in India) so much that these crime syndicates( trucking mafia,extortion mafia, education mafia, real estate mafia, etc.) are trying to take control of  your country under the banner of khalistan. And many conservatives have taken the age old route of racism. But have ignored the repeated heeds given by the Indian government and the process the only power in the world that wants to help destroy these gangs.",2024-11-05T00:01:30Z,0
@Seevawonderloaf,"<a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=1085"">18:05</a> 😂 Canadian occupies Quebec. Lmao I’m dying. I’m Indian American but I’m dying laughing at this comedy lol",2024-11-04T19:33:09Z,0
@YS27122,India is clearly enjoying much greater freedom of speech than Canada. Look at their media. <br>Ruthless!!!😂😂,2024-11-04T18:18:36Z,0
@YS27122,Indians are the best roasters in the world😂😂😂. <br>Trudeau must be crying daily😂.,2024-11-04T18:17:01Z,0
@LeoZeFireYT,"Guy, you&#39;re my fav canadian. Love from india ❤. We dont like what Trudeau is doing in canada and relationship with india. India and canada are known to have sweetest people and welcoming.",2024-11-04T17:55:08Z,0
@jeopardyking7187,Them uberdrivers are punjabi not Indian.,2024-11-04T17:03:43Z,0
@kingshuk4122,They are anti-liberal.. They are Commie...,2024-11-04T15:21:20Z,0
@jayasimhaks7387,"BY 2025 Canada will be ruled by these Khalistani terrorist. This is true because these Khalistani terrorist are not belongs to India, they are belongs to Punjab province of Pakistan. If canadians thinks that these Khalistani terrorist will going to flourish Canada is wrong perception. These people tacticks are first creating their base in any country and winning the confidence of local people of that country. After gaining confidence of local people next take  <br>the key positions of that country like intelligent services, police department and in milatary position. Finally, they take over that country in their hand and they will going to give begging bowl to the canadians and make canadians to beg in front of Gurudwara.",2024-11-04T09:29:07Z,0
@TheDingoBingoNoob,"😂😂that Punjabi twist to the anthem was a bit too much.. yall are digging your own grave by actually allowing these illiterate hooligans into your country, the fact that I&#39;m saying this as an indian in India should be alarming for y&#39;all honestly...",2024-11-04T06:22:58Z,0
@Ravi-fw3ee,"singing the CANADIAN national anthem in Punjabi just felt so wrong and despairing .. as an Indian living in Canada, it hurt me.. this is just too much..",2024-11-04T03:04:59Z,3
@swapanilpatel2448,Canadian national anthem in Punjabi now it’s too much!Sikh are Sikh In there hade!!!!!!!!!,2024-11-03T19:22:45Z,0
@surajkumarsurajkumar486,Stupid lady was super 😂😂,2024-11-03T19:15:26Z,0
@adityamaratha7165,This country have changed upside down in last few years with poor immigration policies Trudeau have filled this country with refugees,2024-11-03T18:55:33Z,0
@kpopvoodoo,Rahul gandhi = justin trudeau,2024-11-03T16:56:43Z,0
@mishrarohit99,The dumb tales of Dustbin Turdeau and the stupid lady 😂😂,2024-11-03T14:41:57Z,0
@angshusarma8331,Issue is with the Canadians..<br>Why the hell ya&#39;ll even vote for Justin and Khalistanis?,2024-11-03T12:18:43Z,0
@angshusarma8331,Protect yourself if you can...daam...he didn&#39;t say that.😂😂😂,2024-11-03T12:16:49Z,0
@amitshanbhag2383,They are not khalistani militants they are canadian terrorists,2024-11-03T05:52:06Z,1
@aryanagnihotri1049,"As an Indian , I see it as utterly foolish to ruin years of bond between two nations for some votes.",2024-11-02T19:34:10Z,7
@chinmayharshe999,If i was a Canadian (thank god I&#39;m not) i would have left the stadium. 😂😂😂,2024-11-02T18:02:03Z,1
@amitpatilamit,India has 22 official languages and more than 200 recognized languages (over 1000 dialects) but I don&#39;t remember a single incident where anyome tried to &quot;change&quot; national anthem to their language in any public event! My god... These Khalistanis must be holding Canada&#39;s balls really hard to let this anthem translation happen!!! 😂,2024-11-02T16:32:07Z,0
@siddarthbiswas2942,This is what you get for getting terrorists into your country. Terrorists are the dumbest group of people of any country.,2024-11-02T10:48:22Z,0
@kathyclay2870,trudeau prematurely accused India. He should have gotten proof,2024-11-02T04:23:22Z,0
@kathyclay2870,Anyone ever think that trudeau is number 1 on the foreign interference report because of the way he loves and protects China,2024-11-02T04:15:17Z,0
@r5611-u1y,what happened to native canadians? Why can&#39;t u guys protest against this justinder singh trudeau.He is allowing immigrants in crazy numbers so that he can appease them for votes.,2024-11-01T15:16:48Z,0
@sanju4sg,I still remember and love the incident when Chinese president was literally scolding Mr. Joker in G20 or some UN meeting. his body language is like someone disciplineing his pet dog..😅😅😅,2024-11-01T13:59:37Z,0
@sanju4sg,love guys like chandra ... they pull him down while staying in favour of him.,2024-11-01T13:40:13Z,0
@Manch271,"Trudeau is supported by Nazis, funded by China, and voted by Khalistanis... Jagmeet is his man-friday! <a href=""http://www.youtube.com/results?search_query=%23k2project"">#K2Project</a> <a href=""http://www.youtube.com/results?search_query=%23justiceforkanishkavictims"">#JusticeForKanishkaVictims</a>",2024-11-01T08:00:38Z,0
@prakashc2704,His name is Just-In Turd-Eww!,2024-10-31T06:53:29Z,0
@divedeeep,"As an Indian, I’d be furious if Indian national anthem was sung in English or any other language. I totally agree with Canadians. They should be outraged by this replacement of their anthem. This is just not done. They can do ot to any other song.. may be the hockey team anthem or smth like that. But this looks like they’re trying to hijack Canada and convert it to Khalistan lol",2024-10-31T04:15:50Z,0
@spn-thor1928,love your content,2024-10-31T02:43:06Z,0
@tarunjain475,"Will the Khalistanis come back from the West to the so-called Khalistan, if that is created?<br>Khalistanis should ask Pakistan for Punjab as well because 2/3 of Punjab is in Pakistan",2024-10-30T15:08:48Z,1
@AirX007,We love Canadian but not Trudeau,2024-10-30T11:57:46Z,0
@leomuthu9672,You guys didn&#39;t take third world workforce you took the crap of thrid world and expect everything to be great..SOORRY Canada,2024-10-30T11:43:22Z,0
@takeshiasahi5494,"oukkkk, Canadian national anthem Ft. Punjabi MC is the only thing liberals do around the world to gain votes rather than actually doing something. If a was in Canada, as an Indian, i would be ashamed of the fact that this country gave me shelter and food because of its kind people and there welcoming nature. This stupid stunt will give me generational goosebumps of embarrassment.",2024-10-30T08:25:00Z,0
@sarangshinde5490,As sme gen alpha whould say canada is cooked bro 😂.,2024-10-30T05:15:51Z,0
@ps-er9sm,JT won&#39;t get any Hindu votes in Canada.,2024-10-29T22:39:49Z,0
@SWAGGERMEGHNAAD,"So-called &quot;5 EYES&quot;, But &quot;ALL BLIND&quot; 😎😎😎😎😎",2024-10-29T17:45:25Z,1
@sohilpatil,"Damn!!! Even changing the National Anthem, looks like they spared No Respect even for the country they live in",2024-10-29T16:48:54Z,3
@UdaySingh-im4hd,why on earth canada thinks khalistani separatists (want some lands of india pakistan) are more important than India a country.,2024-10-29T06:53:21Z,0
@rizzzz1015,"<a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=1550"">25:50</a> at this point just change the name to khalistan .... khalistan is real already and it&#39;s canada.",2024-10-29T06:36:36Z,0
@ramv7314,"Being an Indian.. I would totally agree with you.. your national anthem should be in your language.. not Punjabi.. the issue is there are many hard working Indians in Canada.. Indians integrate well in most parts of the world.. as our culture teaches respect to all...but Canada has also taken in rogue elements, terrorists..people who are wanted by Indian govt.. and these anti socials are the ones creating mess..",2024-10-29T05:42:42Z,3
@shilpamurdeshwar5788,"Hahaha it seems&quot; third world country&quot;,says the looter,invader.When we want to reform our public west will poke its nose ,now bear it u will get such crowd in ur country.",2024-10-29T05:20:38Z,0
@perryhandiqueshorts2364,Trudeau❎ False though✅,2024-10-29T04:47:04Z,0
@Hilery-p6e,This is your fault why can&#39;t you check the background of immigrants,2024-10-28T20:16:11Z,0
@youtubee9479,"React to more Indian news. Palki is the biggest savage, she speaks facts.",2024-10-28T19:17:41Z,0
@RajeshRajan-tu9zx,These people who are in Canada from Punjab and are khalistani they will give you Canadian a tough time,2024-10-28T18:02:51Z,0
@mnreddy6443,"Hey bro,<br>can you get Anand Ranganathan to interview to your channel. It will blow up in India and Canada for sure.",2024-10-28T13:44:31Z,0
@parminderbrar888,David you will be billionaire very soon by using Indian  intellectual &#39;s vdos,2024-10-28T13:12:15Z,1
@sarithas5337,Deepak Vohra ex ambassador India.,2024-10-28T12:54:24Z,0
@MsMumbaikar,Hahahahah who was that sad singer hahaha,2024-10-28T11:38:01Z,0
@MsMumbaikar,My question is where is Khalistan?😂,2024-10-28T11:29:19Z,1
@EKarnataka,His mouth is filled with Trudeau milk I mean money so... He can&#39;t tell truth hahaha 🤣😂,2024-10-28T10:52:46Z,0
@learningtemple3700,Jagmeet and justin are gays 😂😂😂😂,2024-10-28T09:25:42Z,0
@27siddarth,Indians 🤝 Actial Canadians - hate for Thudo,2024-10-28T08:31:06Z,0
@satishxoxox,TRUDEAU................The Truthless,2024-10-28T07:07:04Z,0
@samnigam3451,"Our media loves to expose destroy ridicule clown n moron 🤡 Dustbin 🗑 Trudeau the most despised n hated jerk globally but question is, when will you Canadians get rid of em n bring charasmatic opposition leader to power ? 😂...",2024-10-28T07:04:05Z,0
@dharamewada6922,"Trudeau besides being dumb is also dangerous , as most of the time he talks trash and can get not only Canada into trouble but also the world... it better to throw him out ...",2024-10-28T06:59:52Z,0
@akcj875,They are not indian drivers.they are candians,2024-10-28T06:48:06Z,1
@akcj875,Mr Arya has no clue...he is just ignorant,2024-10-28T06:31:36Z,0
@akcj875,Canadian pension funds will not be allowed to invest into fastest growing economies...keep buying US dollars that americans keep printing,2024-10-28T06:30:38Z,0
@akcj875,Bootlicker for sure...lol,2024-10-28T06:29:11Z,0
@Rohit_Kumar_India,All these are facts spoken by indian commentators. They are not crazy.,2024-10-28T05:39:29Z,0
@Satish_Singh31,"This MP Mr. Chandra Arya is praising JT because at this point if they change the face of liberal party, liberal party’s graph might go up and they may win again. He wants JT to stay as face of Liberal party so that conservatives can win the elections. He is a true patriot 😂",2024-10-28T03:53:39Z,0
@Satish_Singh31,"This MP Mr. Chandra Arya is praising JT because at this point if they change the face of liberal party, liberal party’s graph might go up and they may win again. He wants JT to stay as face of Liberal party so that conservatives can win the elections. He is a true patriot 😂",2024-10-28T03:51:49Z,0
@sks2729,Trudeu&#39;s father protected the terrorist who blew up an Indian plane with 330 onboard and this moron grew up among these terrorists who donate money to them and show them the votes they can poll in their favor and these Canadian leaders look the other way because it doesn&#39;t affect them .,2024-10-27T20:46:28Z,0
@santhoshbabu7888,Vive le Québec,2024-10-27T20:38:43Z,0
@charlenelohnes4698,I hope these khalistans get a hold of trudeau.,2024-10-27T20:34:44Z,0
@charlenelohnes4698,Bull poop,2024-10-27T20:32:04Z,0
@charlenelohnes4698,He does not realize that people see right through him. He is not as popular as he thinks he is. I listen when people talk.,2024-10-27T20:29:39Z,2
@charlenelohnes4698,Trudeau is blaming India and he is the worst ever..if you believe in liars thieft and corruption. Mr. I think you should leave Canada yrudeau has done absolutely 💯 nothing for Canadians f- you. My god. This Inian guy is not a Modi..he is kissing trudeau as and also getting rich fron trudeau. How much did he pay you to say this about trudeau. You are a fool. Not Canadian.,2024-10-27T20:27:34Z,1
@jonysen718,This man thing american biden his dad 😂😂 even we Bangladeshi know this man was Canadian clown 😂,2024-10-27T17:53:57Z,0
@nickynicky4411,🍁😆🤣😂,2024-10-27T17:43:46Z,1
@MaheshYadav-jj5vs,Hay one thing where is palki sharma. You put her pic in the thumbnail.,2024-10-27T15:23:03Z,0
@JRT-h7v,Comedy star trudaeu ur more popular in india media,2024-10-27T15:16:45Z,0
@HarshPatel-ls2iv,Indian people has absolute no problem with Canadias except Khalistanis and Treudo and his allies.<br>Have never seen such childish head of a state.,2024-10-27T14:48:34Z,0
@vikasdoc1971,Canadians are double standard,2024-10-27T14:05:45Z,0
@vikasdoc1971,Canadian terrorists-Trudeau n jagmeet company,2024-10-27T13:47:08Z,0
@eyeope,Canada is a third world country lmao 😅,2024-10-27T11:24:05Z,0
@NIRAJCHAVAN-wc3rp,Okay but that AI image of Trudeau running from a cow or smth down there is funny as hell😆😆😆😆,2024-10-27T09:33:22Z,1
@m0dg0d16,"All brown skinned are not Indians. Kindly, do not assume that Indians are protesting in Canada just because protestors are brown skinned.",2024-10-27T09:04:27Z,0
@Jivantvichar,I am a Punjabi but it&#39;s damn shocking to listen Punjabi Canadian National Anthem.<br>Canadians are getting or being too dumb nothing less. <br>lots of things to say but not on public platform.,2024-10-27T08:28:53Z,0
@milanudani2104,Trudeau spollied everything between two democracies for well known single terrorist who migrated to Canada ..<br>He has pics of his holding AK47.,2024-10-27T08:17:59Z,0
@AkshayKittur,Trudue ruined Canada for his own political gains.,2024-10-27T07:36:29Z,0
@suchi0up,"India loves Canada.<br>Indians don&#39;t love Turdo.<br>Sikhs and Hindus love Canada.<br>Khalistanis are NOT Sikhs, they bully Sikhs.<br>Khalistanis are separatists and bullies supported by Islamic extremist ideology from Pakistan and mind you be it for India and Canada, they are not good for either of us.<br>Peace ✌️",2024-10-27T07:32:00Z,0
@drprofessorsoso208,"Esteemed colleague,<br><br>It is with a profound sense of gravitas that I observe the current predicament of Prime Minister Justin Trudeau, whose actions have culminated in an egregious self-humiliation and a catastrophic degradation of his own standing within the echelons of political esteem. In an audacious display of misdirected ire, he has sought to cast aspersions upon the Indian government, attributing the degradation of his reputation to external forces rather than acknowledging the inherent culpability of his own misguided allegations. <br><br>This phenomenon—wherein individuals resort to spurious claims as a means of self-justification—inevitably invites scrutiny and, often, unwelcome exposure. Such occurrences serve as a poignant reminder of the inexorable truth that those who engage in the fabrication of unfounded allegations often find themselves ensnared in a web of embarrassment, ultimately reaping the consequences of their own actions. Thus, one might argue, the travails of Mr. Trudeau are a fitting, albeit unfortunate, manifestation of this recurrent narrative. He endeavors to undermine the reputations of others through the dissemination of baseless allegations, yet now finds himself lamenting the deterioration of his own standing. What a profound irony, indeed, illustrating the quintessential folly of engaging in such duplicitous tactics.<br>😂😂😂",2024-10-27T07:12:58Z,0
@sushantguru3756,Justin Trudeau broke india and our sikh brothers,2024-10-27T07:11:53Z,0
@rd-rams2193,That national anthem thing is correct dude,2024-10-27T06:59:29Z,0
@ArchLORDgaming415,That’s not “Ani” it’s “A.N.I.”,2024-10-27T06:09:31Z,0
@RavenHart-sx8xs,"<a href=""https://www.youtube.com/watch?v=6yScHCqAKp0&amp;t=440"">7:20</a> <b>Brown Sepoy on Goras Payroll</b> 😅",2024-10-27T05:45:36Z,0
@brijesh1994,For us Trudeau is nothing more than SECOND PAPPU after RAHUL GANDHI.,2024-10-27T03:35:28Z,5
@kapilseth8888,Canadians beware of  khalistani they will canada living hell,2024-10-27T02:10:24Z,0
@prasant7930011,We love Sikh. <br>Sikh is a person who will give his life to protect an innocent person.<br>Not khalistani (canadain terrorist group) they are gang members.... that&#39;s what I see them as.,2024-10-26T23:45:34Z,0
@Monkey_King17,"Guys plz don’t ruin long standing relationship of India and Canada on your news channels just coz of one nuthead and his khalistani supporters … tbh, there are max 5% khalistanis in Canada and max 20% others including a large portion of Pakistanis support these Khalistanis. <br>The max white, black and French population are sick of these people. I am an Indian living in Alberta since 30 years. This is a just causing problem for a large portion of proud Indian Canadians who are squeezed in between. Our families in India are worried coz of this  hate towards Canada in India. Plz stop it 🙏🇮🇳🕉️🪯",2024-10-26T21:12:32Z,0
@codingpanditt,we are sorry as indian to canadian but not to Trudeau,2024-10-26T20:55:59Z,0
@wheelsoncrisis,All these khalistanis will be the downfall of canada,2024-10-26T19:11:12Z,0
